,stage,job,position,machine,start time,end time
56,1,11,12,1,798.4886812142227,836.0154910572581
57,1,12,0,1,920.136088819395,963.8538302646627
58,1,13,3,2,957.364489154489,1003.2563488926254
59,1,14,11,1,1005.8329649115641,1049.497137670162
60,1,15,0,0,43.295045398253755,90.69758148433246
61,1,16,14,1,86.22096295895463,129.78493345653916
62,1,17,13,0,127.41540119905385,176.90914084268707
63,1,18,2,1,253.12118369520726,297.56578248666665
64,1,19,10,1,300.7619111099442,344.9885500084003
65,1,20,5,1,340.167213650444,382.39706001830126
66,1,21,12,0,456.1004394966069,500.4484555587704
67,1,22,10,0,504.82725383678337,546.2158698804006
68,1,23,4,1,538.7900463798765,582.8491605781849
69,1,24,9,0,666.8225812991432,706.8871943327817
70,1,25,9,1,716.975957137911,755.6274357376719
71,1,26,11,0,760.4920353892347,799.1062487848125
72,1,27,6,2,880.0625160923005,924.6413406104609
73,1,28,6,0,915.8217991439514,961.0150305898062
74,1,29,8,0,963.2334842731141,1005.9049181612454
75,1,30,5,0,46.458811404522066,83.71635246126039
76,1,31,1,0,81.17280996120334,127.77926486873346
77,1,32,2,0,120.98127205032843,169.25605724184726
78,1,33,5,2,241.51161067863785,290.43894490188575
79,1,34,14,2,292.371586128657,340.1660292526195
80,1,35,7,0,328.1012633822646,376.67568708127493
81,1,36,1,1,444.0585369265597,492.9816910840422
82,1,37,6,1,498.86761493676676,542.4360138860395
83,1,38,3,1,539.5475429694555,581.0256876727403
84,1,39,8,1,652.8901154951752,698.764083093137
85,1,40,3,0,697.8531498303566,737.7120275287264
86,1,41,4,0,737.559876142564,784.9226780616743
87,1,42,13,1,866.1544638317623,914.0472673443714
88,1,43,8,2,901.8355681095538,950.3661136535272
89,1,44,13,2,948.0675747802352,992.3247913496714
90,2,0,0,0,103.45189303291548,152.74860125816517
91,2,1,1,0,152.74860125816517,196.86433140860365
92,2,2,2,0,196.86433140860365,239.17221490143982
93,2,3,3,0,319.1730297318188,364.41646503253224
94,2,4,4,0,364.41646503253224,414.36407478348224
95,2,5,5,0,414.3640747834823,463.2012518347467
96,2,6,6,0,543.2034650639346,590.3100162417577
97,2,7,7,0,590.3100162417577,627.4632380765107
98,2,8,8,0,627.4632380765108,672.0422015470808
99,2,9,9,0,752.045916402786,794.8561352303543
100,2,10,10,0,794.8561352303543,839.6781979961149
101,2,11,11,0,839.6781979961149,887.5092840555161
102,2,12,12,0,967.5164157732859,1006.9189144821519
103,2,13,13,0,1006.9189144821519,1053.1597635732237
104,2,14,14,0,1053.1597635732237,1090.799643678143
105,2,15,15,1,94.36180169078861,133.44824920693821
106,2,16,16,1,133.44824920693821,180.57241081088628
107,2,17,17,1,180.57241081088628,221.22791689996146
108,2,18,18,1,301.22897558939144,348.6517589408627
109,2,19,19,1,348.6517589408627,386.06026422388805
110,2,20,20,1,386.060264223888,424.10928306866026
111,2,21,21,1,504.11160315531504,549.8789921179924
112,2,22,22,1,549.8789921179924,586.512269068111
113,2,23,23,1,586.512269068111,630.5463935831593
114,2,24,24,1,710.5500919169111,759.2903161226977
115,2,25,25,1,759.2903161226977,802.7690876783479
116,2,26,26,1,802.7690876783478,848.2973355342193
117,2,27,27,1,928.3039868302815,964.6777419555524
118,2,28,28,1,964.6777419555524,1009.5677406943128
119,2,29,29,1,1009.5677406943128,1054.056478542872
120,2,30,30,2,87.37911595435926,131.44245722680083
121,2,31,31,2,131.44245722680083,172.9193889573204
122,2,32,32,2,172.9193889573204,214.101348122013
123,2,33,33,2,294.10237115707844,343.8296042661402
124,2,34,34,2,343.8296042661402,380.339092792701
125,2,35,35,2,380.33909279270097,416.6420039306713
126,2,36,36,2,496.64471812509555,546.0991560484501
127,2,37,37,2,546.0991560484501,584.6887632280143
128,2,38,38,2,584.6887632280143,622.4232955299564
129,2,39,39,2,702.4271263883242,741.3751975267372
130,2,40,40,2,741.3751975267372,788.5856497916958
131,2,41,41,2,788.5856497916957,837.7032180127198
132,2,42,42,2,917.7098229799703,954.0287790393315
133,2,43,43,2,954.0287790393315,995.987442686867
134,2,44,44,2,995.987442686867,1033.4084457581052
